"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Size","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","line.station","dumpsite","ID_internal"
4,"JD",23,"CB",1,301,45.8,1,32.65167,-119.481667,90,53,"Triphoturus mexicanus",2000,"04","90 53",0,18
4,"JD",24,"CB",1,292,43.3,1,32.91833,-118.938333,90,45,"Stenobrachius leucopsarus",2000,"04","90 45",0,19
4,"JD",24,"CB",1,301,30.2,1,32.91833,-118.938333,90,45,"Triphoturus mexicanus",2000,"04","90 45",0,20
4,"JD",24,"CB",1,301,33.1,1,32.91833,-118.938333,90,45,"Triphoturus mexicanus",2000,"04","90 45",0,21
4,"JD",34,"CB",1,292,37.1,1,33.15833,-120.006667,86.7,55,"Stenobrachius leucopsarus",2000,"04","86.7 55",0,22
4,"JD",34,"CB",1,292,48.8,1,33.15833,-120.006667,86.7,55,"Stenobrachius leucopsarus",2000,"04","86.7 55",0,23
4,"JD",35,"CB",1,292,31,1,32.99167,-120.348333,86.7,60,"Stenobrachius leucopsarus",2000,"04","86.7 60",0,24
4,"JD",46,"CB",1,292,32.4,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"04","83.3 60",0,25
4,"JD",46,"CB",1,292,36.3,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"04","83.3 60",0,26
4,"JD",46,"CB",1,292,47.9,1,33.575,-120.756667,83.3,60,"Stenobrachius leucopsarus",2000,"04","83.3 60",0,27
7,"NH",4,"CB",1,292,20.6,1,32.68,-117.873333,93.3,35,"Stenobrachius leucopsarus",2000,"07","93.3 35",0,28
7,"NH",5,"CB",1,292,20.6,1,32.51333,-118.211667,93.3,40,"Stenobrachius leucopsarus",2000,"07","93.3 40",0,29
7,"NH",14,"CB",1,301,58.1,1,30.18,-122.923333,93.3,110,"Triphoturus mexicanus",2000,"07","93.3 110",0,30
7,"NH",26,"CB",1,292,22.3,1,33.25333,-118.253333,90,35,"Stenobrachius leucopsarus",2000,"07","90 35",1,31
7,"NH",26,"CB",1,292,40.7,1,33.25333,-118.253333,90,35,"Stenobrachius leucopsarus",2000,"07","90 35",1,32
7,"NH",26,"CB",1,292,51.5,1,33.25333,-118.253333,90,35,"Stenobrachius leucopsarus",2000,"07","90 35",1,33
7,"NH",31,"CB",1,292,38,1,33.65667,-118.973333,86.7,40,"Stenobrachius leucopsarus",2000,"07","86.7 40",1,34
7,"NH",31,"CB",1,292,42.4,1,33.65667,-118.973333,86.7,40,"Stenobrachius leucopsarus",2000,"07","86.7 40",1,35
7,"NH",31,"CB",1,292,45.3,1,33.65667,-118.973333,86.7,40,"Stenobrachius leucopsarus",2000,"07","86.7 40",1,36
7,"NH",32,"CB",1,292,37.4,1,33.48833,-119.326667,86.7,45,"Stenobrachius leucopsarus",2000,"07","86.7 45",0,37
7,"NH",32,"CB",1,292,52.3,1,33.48833,-119.326667,86.7,45,"Stenobrachius leucopsarus",2000,"07","86.7 45",0,38
7,"NH",37,"CB",1,301,57.6,1,32.32333,-121.713333,86.7,80,"Triphoturus mexicanus",2000,"07","86.7 80",0,39
10,"NH",20,"CB",1,292,17.6,1,31.41667,-121.988333,90,90,"Stenobrachius leucopsarus",2000,"10","90 90",0,40
10,"NH",27,"CB",1,301,21.8,1,33.18167,-118.388333,90,37,"Triphoturus mexicanus",2000,"10","90 37",1,41
10,"NH",29,"CB",1,292,21.8,1,33.41833,-117.905,90,30,"Stenobrachius leucopsarus",2000,"10","90 30",1,42
10,"NH",29,"CB",1,301,17.5,1,33.41833,-117.905,90,30,"Triphoturus mexicanus",2000,"10","90 30",1,43
10,"NH",32,"CB",1,301,43.8,1,33.825,-118.631667,86.7,35,"Triphoturus mexicanus",2000,"10","86.7 35",1,44
10,"NH",42,"CB",1,292,23.6,1,31.65667,-123.071667,86.7,100,"Stenobrachius leucopsarus",2000,"10","86.7 100",0,45
10,"NH",42,"CB",1,301,41,1,31.65667,-123.071667,86.7,100,"Triphoturus mexicanus",2000,"10","86.7 100",0,46
10,"NH",45,"CB",1,292,22.8,1,32.24333,-123.49,83.3,100,"Stenobrachius leucopsarus",2000,"10","83.3 100",0,47
10,"NH",49,"CB",1,292,15.4,1,33.57833,-120.755,83.3,60,"Stenobrachius leucopsarus",2000,"10","83.3 60",0,48
10,"NH",49,"CB",1,292,24.5,1,33.57833,-120.755,83.3,60,"Stenobrachius leucopsarus",2000,"10","83.3 60",0,49
10,"NH",59,"CB",1,301,21.7,1,34.14667,-121.151667,80,60,"Triphoturus mexicanus",2000,"10","80 60",0,50
101,"JD",30,"CB",1,301,24.2,1,33.82333,-118.628333,86.7,35,"Triphoturus mexicanus",2001,"01","86.7 35",1,51
101,"JD",30,"CB",1,301,25.2,1,33.82333,-118.628333,86.7,35,"Triphoturus mexicanus",2001,"01","86.7 35",1,52
101,"JD",46,"CB",1,301,25,1,33.57833,-120.756667,83.3,60,"Triphoturus mexicanus",2001,"01","83.3 60",0,53
101,"JD",47,"CB",1,292,36.4,1,33.745,-120.41,83.3,55,"Stenobrachius leucopsarus",2001,"01","83.3 55",0,54
101,"JD",47,"CB",1,292,38.3,1,33.745,-120.41,83.3,55,"Stenobrachius leucopsarus",2001,"01","83.3 55",0,55
101,"JD",47,"CB",1,301,23,1,33.745,-120.41,83.3,55,"Triphoturus mexicanus",2001,"01","83.3 55",0,56
101,"JD",54,"CB",1,292,52.7,1,34.15167,-121.15,80,60,"Stenobrachius leucopsarus",2001,"01","80 60",0,57
101,"JD",54,"CB",1,301,23,1,34.15167,-121.15,80,60,"Triphoturus mexicanus",2001,"01","80 60",0,58
104,"JD",25,"CB",1,301,26.9,1,32.65333,-119.48,90,53,"Triphoturus mexicanus",2001,"04","90 53",0,59
104,"JD",25,"CB",1,301,28.8,1,32.65333,-119.48,90,53,"Triphoturus mexicanus",2001,"04","90 53",0,60
104,"JD",25,"CB",1,301,29.9,1,32.65333,-119.48,90,53,"Triphoturus mexicanus",2001,"04","90 53",0,61
104,"JD",32,"CB",1,301,30.8,1,33.825,-118.626667,86.7,35,"Triphoturus mexicanus",2001,"04","86.7 35",1,62
104,"JD",32,"CB",1,301,32.5,1,33.825,-118.626667,86.7,35,"Triphoturus mexicanus",2001,"04","86.7 35",1,63
104,"JD",33,"CB",1,292,31.8,1,33.65667,-118.975,86.7,40,"Stenobrachius leucopsarus",2001,"04","86.7 40",1,64
104,"JD",34,"CB",1,292,35,1,33.49,-119.315,86.7,45,"Stenobrachius leucopsarus",2001,"04","86.7 45",0,65
104,"JD",34,"CB",1,292,39,1,33.49,-119.315,86.7,45,"Stenobrachius leucopsarus",2001,"04","86.7 45",0,66
104,"JD",34,"CB",1,292,44.4,1,33.49,-119.315,86.7,45,"Stenobrachius leucopsarus",2001,"04","86.7 45",0,67
104,"JD",39,"CB",1,301,27.3,1,32.325,-121.715,86.7,80,"Triphoturus mexicanus",2001,"04","86.7 80",0,68
104,"JD",52,"CB",1,292,43.4,1,34.27667,-120.026667,81.8,46.9,"Stenobrachius leucopsarus",2001,"04","81.8 46.9",0,69
104,"JD",52,"CB",1,292,43.8,1,34.27667,-120.026667,81.8,46.9,"Stenobrachius leucopsarus",2001,"04","81.8 46.9",0,70
104,"JD",52,"CB",1,292,46.4,1,34.27667,-120.026667,81.8,46.9,"Stenobrachius leucopsarus",2001,"04","81.8 46.9",0,71
104,"JD",52,"CB",1,292,48.8,1,34.27667,-120.026667,81.8,46.9,"Stenobrachius leucopsarus",2001,"04","81.8 46.9",0,72
104,"JD",56,"CB",1,292,36,1,34.31833,-120.8,80,55,"Stenobrachius leucopsarus",2001,"04","80 55",0,73
104,"JD",57,"CB",1,292,49.8,1,34.14833,-121.155,80,60,"Stenobrachius leucopsarus",2001,"04","80 60",0,74
106,"JD",2,"M2",2,292,32.6,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,75
106,"JD",2,"M2",2,292,35.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,76
106,"JD",2,"M2",2,292,56.5,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,77
106,"JD",2,"M2",2,301,34.1,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,78
106,"JD",2,"M2",2,301,34.7,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,79
106,"JD",2,"M2",3,292,34.5,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,80
106,"JD",2,"M2",3,292,35,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,81
106,"JD",2,"M2",3,292,36.1,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,82
106,"JD",2,"M2",3,292,36.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,83
106,"JD",2,"M2",3,292,36.6,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,84
106,"JD",2,"M2",3,292,38.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,85
106,"JD",2,"M2",3,292,39.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,86
106,"JD",2,"M2",3,292,39.7,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,87
106,"JD",2,"M2",3,292,56.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,88
106,"JD",2,"M2",3,292,61.5,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,89
106,"JD",2,"M2",3,301,31,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,90
106,"JD",2,"M2",3,301,32.1,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,91
106,"JD",2,"M2",3,301,32.2,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,92
106,"JD",2,"M2",3,301,32.7,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,93
106,"JD",2,"M2",3,301,33,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,94
106,"JD",2,"M2",3,301,33.6,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,95
106,"JD",2,"M2",3,301,34.8,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,96
106,"JD",2,"M2",3,301,36.9,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,97
106,"JD",2,"M2",3,301,47,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,98
106,"JD",2,"M2",4,292,18.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,99
106,"JD",2,"M2",4,292,20,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,100
106,"JD",2,"M2",4,292,22.6,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,101
106,"JD",2,"M2",4,292,33.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,102
106,"JD",2,"M2",4,292,34.8,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,103
106,"JD",2,"M2",4,292,36.6,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,104
106,"JD",2,"M2",4,292,36.7,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,105
106,"JD",2,"M2",4,292,38,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,106
106,"JD",2,"M2",4,292,38.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,107
106,"JD",2,"M2",4,292,38.8,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,108
106,"JD",2,"M2",4,292,39.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,109
106,"JD",2,"M2",4,292,40.1,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,110
106,"JD",2,"M2",4,292,40.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,111
106,"JD",2,"M2",4,292,40.9,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,112
106,"JD",2,"M2",4,292,41.1,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,113
106,"JD",2,"M2",4,292,41.6,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,114
106,"JD",2,"M2",4,292,41.7,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,115
106,"JD",2,"M2",4,292,42.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,116
106,"JD",2,"M2",4,292,42.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,117
106,"JD",2,"M2",4,292,44.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,118
106,"JD",2,"M2",4,292,44.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,119
106,"JD",2,"M2",4,292,45.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,120
106,"JD",2,"M2",4,292,45.5,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,121
106,"JD",2,"M2",4,292,45.7,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,122
106,"JD",2,"M2",4,292,47.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,123
106,"JD",2,"M2",4,292,49.3,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,124
106,"JD",2,"M2",4,292,50.1,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,125
106,"JD",2,"M2",4,292,51.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,126
106,"JD",2,"M2",4,292,57.8,3,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,127
106,"JD",2,"M2",4,292,57.9,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,128
106,"JD",2,"M2",4,292,60.7,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,129
106,"JD",2,"M2",4,292,61.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,130
106,"JD",2,"M2",4,301,31.9,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,131
106,"JD",2,"M2",4,301,32.7,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,132
106,"JD",2,"M2",4,301,35.8,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,133
106,"JD",2,"M2",4,301,36,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,134
106,"JD",2,"M2",4,301,38.8,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,135
106,"JD",2,"M2",4,301,45.3,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,136
106,"JD",2,"M2",4,301,46.7,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,137
106,"JD",2,"M2",4,301,48.4,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,138
106,"JD",2,"M2",5,292,20,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,139
106,"JD",2,"M2",5,292,21.5,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,140
106,"JD",2,"M2",5,292,36.5,2,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,141
106,"JD",2,"M2",5,292,38.2,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,142
106,"JD",2,"M2",5,292,54.4,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,143
106,"JD",2,"M2",5,292,65.8,1,32.89833,-117.403333,93.3,30,"Stenobrachius leucopsarus",2001,"06","93.3 30",0,144
106,"JD",2,"M2",5,301,28.5,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,145
106,"JD",2,"M2",5,301,29.5,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,146
106,"JD",2,"M2",5,301,32.2,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,147
106,"JD",2,"M2",5,301,33.4,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,148
106,"JD",2,"M2",5,301,35.9,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,149
106,"JD",2,"M2",5,301,42.8,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,150
106,"JD",2,"M2",5,301,44,1,32.89833,-117.403333,93.3,30,"Triphoturus mexicanus",2001,"06","93.3 30",0,151
106,"JD",3,"M2",4,301,28.3,2,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,152
106,"JD",3,"M2",4,301,29.4,1,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,153
106,"JD",3,"M2",4,301,29.5,1,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,154
106,"JD",3,"M2",4,301,32.7,1,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,155
106,"JD",3,"M2",4,301,35.7,1,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,156
106,"JD",3,"M2",5,301,29.6,1,32.685,-117.876667,93.3,35,"Triphoturus mexicanus",2001,"06","93.3 35",0,157
106,"JD",4,"M2",2,301,34.6,1,32.74333,-118.103333,92.5,37.1,"Triphoturus mexicanus",2001,"06","92.5 37.1",0,158
106,"JD",4,"M2",4,292,40.8,1,32.74333,-118.103333,92.5,37.1,"Stenobrachius leucopsarus",2001,"06","92.5 37.1",0,159
106,"JD",4,"M2",4,292,46.1,1,32.74333,-118.103333,92.5,37.1,"Stenobrachius leucopsarus",2001,"06","92.5 37.1",0,160
106,"JD",4,"M2",4,292,57.7,1,32.74333,-118.103333,92.5,37.1,"Stenobrachius leucopsarus",2001,"06","92.5 37.1",0,161
106,"JD",4,"M2",5,301,33,1,32.74333,-118.103333,92.5,37.1,"Triphoturus mexicanus",2001,"06","92.5 37.1",0,162
106,"JD",4,"M2",5,301,39.6,1,32.74333,-118.103333,92.5,37.1,"Triphoturus mexicanus",2001,"06","92.5 37.1",0,163
106,"JD",4,"M2",5,301,46.3,1,32.74333,-118.103333,92.5,37.1,"Triphoturus mexicanus",2001,"06","92.5 37.1",0,164
106,"JD",5,"M2",2,301,34.3,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,165
106,"JD",5,"M2",2,301,37.7,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,166
106,"JD",5,"M2",2,301,47.5,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,167
106,"JD",5,"M2",3,292,60.5,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,168
106,"JD",5,"M2",3,292,65.6,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,169
106,"JD",5,"M2",3,301,28,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,170
106,"JD",5,"M2",3,301,29.4,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,171
106,"JD",5,"M2",4,292,18.8,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,172
106,"JD",5,"M2",4,292,20.3,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,173
106,"JD",5,"M2",4,292,21.4,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,174
106,"JD",5,"M2",4,292,49.2,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,175
106,"JD",5,"M2",4,292,55.7,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,176
106,"JD",5,"M2",4,292,62,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,177
106,"JD",5,"M2",4,301,20.6,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,178
106,"JD",5,"M2",4,301,29.8,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,179
106,"JD",5,"M2",4,301,31.9,1,32.99167,-117.991667,91.7,34.1,"Triphoturus mexicanus",2001,"06","91.7 34.1",0,180
106,"JD",5,"M2",5,292,18.7,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,181
106,"JD",5,"M2",5,292,39,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,182
106,"JD",5,"M2",5,292,50,1,32.99167,-117.991667,91.7,34.1,"Stenobrachius leucopsarus",2001,"06","91.7 34.1",0,183
106,"JD",6,"M2",3,292,50.6,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,184
106,"JD",6,"M2",3,292,59.3,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,185
106,"JD",6,"M2",4,292,37.2,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,186
106,"JD",6,"M2",4,301,37.5,2,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,187
106,"JD",6,"M2",4,301,52.3,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,188
106,"JD",6,"M2",4,301,63.5,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,189
106,"JD",6,"M2",5,292,18,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,190
106,"JD",6,"M2",5,292,40.2,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,191
106,"JD",6,"M2",5,292,59.8,1,32.735,-118.345,92.1,39.8,"Stenobrachius leucopsarus",2001,"06","92.1 39.8",0,192
106,"JD",6,"M2",5,301,19.2,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,193
106,"JD",6,"M2",5,301,30.8,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,194
106,"JD",6,"M2",5,301,31.3,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,195
106,"JD",6,"M2",5,301,32.7,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,196
106,"JD",6,"M2",5,301,34.6,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,197
106,"JD",6,"M2",5,301,35.5,3,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,198
106,"JD",6,"M2",5,301,36.5,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,199
106,"JD",6,"M2",5,301,38,1,32.735,-118.345,92.1,39.8,"Triphoturus mexicanus",2001,"06","92.1 39.8",0,200
